"","X.4","X.3","X.2","X.1","X","day","month","year","time","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class1Volume","Class2Volume","Class3Volume","Class4Volume","Class5Volume","Class6Volume"
"1",1,52,124,124,124,2,2,18,"17:00",1083,1,"NB_NS",1,"North",924,0,NA,10395,26,8,881,1,23,1,10
"2",2,53,125,125,125,2,2,18,"17:00",1083,2,"NB_MID",1,"North",834,0,NA,11780,18,10,806,0,13,2,3
"3",3,54,126,126,126,2,2,18,"17:00",1083,3,"NB_OS",1,"North",890,0,NA,12447,13,4,873,0,12,0,1
"4",4,55,127,127,127,2,2,18,"18:00",1083,1,"NB_NS",1,"North",654,0,NA,13454,23,2,630,0,15,0,7
"5",5,56,128,128,128,2,2,18,"18:00",1083,2,"NB_MID",1,"North",608,0,NA,13998,15,3,595,1,8,1,0
"6",6,57,129,129,129,2,2,18,"18:00",1083,3,"NB_OS",1,"North",594,0,NA,14723,10,0,588,0,6,0,0
"7",7,124,628,628,628,9,2,18,"17:00",1083,1,"NB_NS",1,"North",846,0,NA,11897,25,0,817,0,21,0,8
"8",8,125,629,629,629,9,2,18,"17:00",1083,2,"NB_MID",1,"North",754,0,NA,13698,12,0,744,0,8,1,1
"9",9,126,630,630,630,9,2,18,"17:00",1083,3,"NB_OS",1,"North",748,0,NA,14276,16,4,731,1,12,0,0
"10",10,127,631,631,631,9,2,18,"18:00",1083,1,"NB_NS",1,"North",601,0,NA,13288,15,3,582,0,8,1,7
"11",11,128,632,632,632,9,2,18,"18:00",1083,2,"NB_MID",1,"North",624,0,NA,14191,11,2,613,0,5,2,2
"12",12,129,633,633,633,9,2,18,"18:00",1083,3,"NB_OS",1,"North",604,0,NA,14911,13,2,594,0,8,0,0
"13",13,196,1132,1132,1132,16,2,18,"17:00",1083,1,"NB_NS",1,"North",911,0,NA,11973,27,5,868,3,20,5,10
"14",14,197,1133,1133,1133,16,2,18,"17:00",1083,2,"NB_MID",1,"North",774,0,NA,13616,13,8,754,2,8,2,0
"15",15,198,1134,1134,1134,16,2,18,"17:00",1083,3,"NB_OS",1,"North",829,0,NA,14111,16,4,812,0,13,0,0
"16",16,199,1135,1135,1135,16,2,18,"18:00",1083,1,"NB_NS",1,"North",603,0,NA,13586,20,3,580,0,12,0,8
"17",17,200,1136,1136,1136,16,2,18,"18:00",1083,2,"NB_MID",1,"North",625,0,NA,14409,13,3,614,0,7,1,0
"18",18,201,1137,1137,1137,16,2,18,"18:00",1083,3,"NB_OS",1,"North",597,0,NA,15258,10,1,590,0,6,0,0
"19",19,268,1636,1636,1636,23,2,18,"17:00",1083,1,"NB_NS",1,"North",780,0,NA,10171,29,5,743,3,19,4,6
"20",20,269,1637,1637,1637,23,2,18,"17:00",1083,2,"NB_MID",1,"North",807,0,NA,12493,21,9,775,1,11,6,5
"21",21,270,1638,1638,1638,23,2,18,"17:00",1083,3,"NB_OS",1,"North",853,0,NA,13245,23,4,827,1,19,1,1
"22",22,271,1639,1639,1639,23,2,18,"18:00",1083,1,"NB_NS",1,"North",583,0,NA,13936,15,3,564,0,9,0,7
"23",23,272,1640,1640,1640,23,2,18,"18:00",1083,2,"NB_MID",1,"North",578,0,NA,14239,26,5,556,0,14,1,2
"24",24,273,1641,1641,1641,23,2,18,"18:00",1083,3,"NB_OS",1,"North",541,0,NA,15021,17,1,531,0,9,0,0
"25",1,35,83,83,83,2,2,18,"17:00",1415,1,"NE_NS",1,"NorthEast",649,0,NA,9413,71,13,579,4,37,9,4
"26",2,36,84,84,84,2,2,18,"17:00",1415,2,"NE_OS",1,"NorthEast",615,0,NA,11077,49,12,566,1,26,4,4
"27",3,37,85,85,85,2,2,18,"18:00",1415,1,"NE_NS",1,"NorthEast",617,0,NA,12502,31,13,581,0,15,4,3
"28",4,38,86,86,86,2,2,18,"18:00",1415,2,"NE_OS",1,"NorthEast",553,0,NA,13435,13,10,534,1,7,0,1
"29",5,83,419,419,419,9,2,18,"17:00",1415,1,"NE_NS",1,"NorthEast",677,0,NA,11614,46,16,625,1,24,7,1
"30",6,84,420,420,420,9,2,18,"17:00",1415,2,"NE_OS",1,"NorthEast",543,0,NA,12809,33,5,518,0,15,3,2
"31",7,85,421,421,421,9,2,18,"18:00",1415,1,"NE_NS",1,"NorthEast",593,0,NA,13230,22,9,566,0,11,2,3
"32",8,86,422,422,422,9,2,18,"18:00",1415,2,"NE_OS",1,"NorthEast",499,0,NA,14226,22,12,474,0,10,1,2
"33",9,131,755,755,755,16,2,18,"17:00",1415,1,"NE_NS",1,"NorthEast",698,0,NA,11126,39,8,659,2,18,9,2
"34",10,132,756,756,756,16,2,18,"17:00",1415,2,"NE_OS",1,"NorthEast",619,0,NA,12531,37,10,582,1,20,3,3
"35",11,133,757,757,757,16,2,18,"18:00",1415,1,"NE_NS",1,"NorthEast",581,0,NA,12725,24,11,552,1,12,2,3
