"","Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class2Volume"
"1","01/02/18 00:00",1083,1,"NB_NS",1,"North",80,0,NA,15837,100,69
"2","01/02/18 00:00",1083,2,"NB_MID",1,"North",104,0,NA,16651,106,91
"3","01/02/18 00:00",1083,3,"NB_OS",1,"North",19,0,NA,16023,0,19
"4","01/02/18 00:00",1083,4,"SB_OS",2,"South",29,0,NA,17672,0,26
"5","01/02/18 00:00",1083,5,"SB_MID",2,"South",97,0,NA,18004,10,95
"6","01/02/18 00:00",1083,6,"SB_NS",2,"South",101,0,NA,16227,69,94
"7","01/02/18 01:00",1083,1,"NB_NS",1,"North",53,0,NA,16336,75,49
"8","01/02/18 01:00",1083,2,"NB_MID",1,"North",60,0,NA,17370,50,57
"9","01/02/18 01:00",1083,3,"NB_OS",1,"North",8,0,NA,16563,0,8
"10","01/02/18 01:00",1083,4,"SB_OS",2,"South",10,0,NA,16306,100,8
"11","01/02/18 01:00",1083,5,"SB_MID",2,"South",44,0,NA,17671,23,43
"12","01/02/18 01:00",1083,6,"SB_NS",2,"South",56,0,NA,16300,107,49
"13","01/02/18 02:00",1083,1,"NB_NS",1,"North",28,0,NA,16280,250,21
"14","01/02/18 02:00",1083,2,"NB_MID",1,"North",42,0,NA,16832,143,35
"15","01/02/18 02:00",1083,3,"NB_OS",1,"North",3,0,NA,17222,0,3
"16","01/02/18 02:00",1083,4,"SB_OS",2,"South",9,0,NA,17160,111,7
"17","01/02/18 02:00",1083,5,"SB_MID",2,"South",25,0,NA,17489,40,24
"18","01/02/18 02:00",1083,6,"SB_NS",2,"South",45,0,NA,16043,133,38
"19","01/02/18 03:00",1083,1,"NB_NS",1,"North",51,0,NA,17195,137,44
"20","01/02/18 03:00",1083,2,"NB_MID",1,"North",26,0,NA,16934,192,20
"21","01/02/18 03:00",1083,3,"NB_OS",1,"North",8,0,NA,15972,0,8
"22","01/02/18 03:00",1083,4,"SB_OS",2,"South",15,0,NA,16685,0,15
"23","01/02/18 03:00",1083,5,"SB_MID",2,"South",35,0,NA,17722,114,31
"24","01/02/18 03:00",1083,6,"SB_NS",2,"South",59,0,NA,17076,68,55
"25","01/02/18 04:00",1083,1,"NB_NS",1,"North",67,0,NA,16725,224,52
"26","01/02/18 04:00",1083,2,"NB_MID",1,"North",60,0,NA,16903,83,54
"27","01/02/18 04:00",1083,3,"NB_OS",1,"North",19,0,NA,16857,0,19
"28","01/02/18 04:00",1083,4,"SB_OS",2,"South",8,0,NA,17674,125,7
"29","01/02/18 04:00",1083,5,"SB_MID",2,"South",48,0,NA,18594,21,47
"30","01/02/18 04:00",1083,6,"SB_NS",2,"South",60,0,NA,16912,50,55
"31","01/02/18 05:00",1083,1,"NB_NS",1,"North",186,0,NA,16217,54,172
"32","01/02/18 05:00",1083,2,"NB_MID",1,"North",163,0,NA,16512,67,148
"33","01/02/18 05:00",1083,3,"NB_OS",1,"North",67,0,NA,18731,15,66
"34","01/02/18 05:00",1083,4,"SB_OS",2,"South",56,0,NA,16662,36,49
"35","01/02/18 05:00",1083,5,"SB_MID",2,"South",107,0,NA,17474,37,97
"36","01/02/18 05:00",1083,6,"SB_NS",2,"South",136,0,NA,17132,66,120
