"","X.3","X.2","X.1","X","day","month","year","time","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class2Volume"
"1",1,1,1,1,1,2,18,"00:00",1083,1,"NB_NS",1,"North",80,0,NA,15837,100,69
"2",2,2,2,2,1,2,18,"00:00",1083,2,"NB_MID",1,"North",104,0,NA,16651,106,91
"3",3,3,3,3,1,2,18,"00:00",1083,3,"NB_OS",1,"North",19,0,NA,16023,0,19
"4",4,4,4,7,1,2,18,"01:00",1083,1,"NB_NS",1,"North",53,0,NA,16336,75,49
"5",5,5,5,8,1,2,18,"01:00",1083,2,"NB_MID",1,"North",60,0,NA,17370,50,57
"6",6,6,6,9,1,2,18,"01:00",1083,3,"NB_OS",1,"North",8,0,NA,16563,0,8
"7",7,7,7,13,1,2,18,"02:00",1083,1,"NB_NS",1,"North",28,0,NA,16280,250,21
"8",8,8,8,14,1,2,18,"02:00",1083,2,"NB_MID",1,"North",42,0,NA,16832,143,35
"9",9,9,9,15,1,2,18,"02:00",1083,3,"NB_OS",1,"North",3,0,NA,17222,0,3
"10",10,10,10,19,1,2,18,"03:00",1083,1,"NB_NS",1,"North",51,0,NA,17195,137,44
"11",11,11,11,20,1,2,18,"03:00",1083,2,"NB_MID",1,"North",26,0,NA,16934,192,20
"12",12,12,12,21,1,2,18,"03:00",1083,3,"NB_OS",1,"North",8,0,NA,15972,0,8
"13",13,13,13,25,1,2,18,"04:00",1083,1,"NB_NS",1,"North",67,0,NA,16725,224,52
"14",14,14,14,26,1,2,18,"04:00",1083,2,"NB_MID",1,"North",60,0,NA,16903,83,54
"15",15,15,15,27,1,2,18,"04:00",1083,3,"NB_OS",1,"North",19,0,NA,16857,0,19
"16",16,16,16,31,1,2,18,"05:00",1083,1,"NB_NS",1,"North",186,0,NA,16217,54,172
"17",17,17,17,32,1,2,18,"05:00",1083,2,"NB_MID",1,"North",163,0,NA,16512,67,148
"18",18,18,18,33,1,2,18,"05:00",1083,3,"NB_OS",1,"North",67,0,NA,18731,15,66
"19",19,19,19,37,1,2,18,"06:00",1083,1,"NB_NS",1,"North",343,0,NA,14947,50,315
"20",20,20,20,38,1,2,18,"06:00",1083,2,"NB_MID",1,"North",511,0,NA,15284,33,489
"21",21,21,21,39,1,2,18,"06:00",1083,3,"NB_OS",1,"North",420,0,NA,15632,10,415
"22",22,22,22,43,1,2,18,"07:00",1083,1,"NB_NS",1,"North",827,0,NA,11091,28,783
"23",23,23,23,44,1,2,18,"07:00",1083,2,"NB_MID",1,"North",1097,0,NA,9314,24,1060
"24",24,24,24,45,1,2,18,"07:00",1083,3,"NB_OS",1,"North",1124,0,NA,9381,36,1077
"25",25,25,25,49,1,2,18,"08:00",1083,1,"NB_NS",1,"North",940,0,NA,8839,26,898
"26",26,26,26,50,1,2,18,"08:00",1083,2,"NB_MID",1,"North",892,0,NA,7278,35,851
"27",27,27,27,51,1,2,18,"08:00",1083,3,"NB_OS",1,"North",953,0,NA,7883,34,906
"28",28,28,28,55,1,2,18,"09:00",1083,1,"NB_NS",1,"North",662,0,NA,12809,59,604
