"","year","month","day","time","sum"
"1",18,2,1,"00:00",203
"2",18,2,1,"01:00",121
"3",18,2,1,"02:00",73
"4",18,2,1,"03:00",85
"5",18,2,1,"04:00",146
"6",18,2,1,"05:00",416
"7",18,2,1,"06:00",1274
"8",18,2,1,"07:00",3048
"9",18,2,1,"08:00",2785
"10",18,2,1,"09:00",2474
"11",18,2,1,"10:00",1768
"12",18,2,1,"11:00",1701
"13",18,2,1,"12:00",1853
"14",18,2,1,"13:00",1730
"15",18,2,1,"14:00",1738
"16",18,2,1,"15:00",2007
"17",18,2,1,"16:00",2438
"18",18,2,1,"17:00",2679
"19",18,2,1,"18:00",2275
"20",18,2,1,"19:00",1342
"21",18,2,1,"20:00",1052
"22",18,2,1,"21:00",714
"23",18,2,1,"22:00",507
"24",18,2,1,"23:00",314
"25",18,2,2,"00:00",212
"26",18,2,2,"01:00",130
"27",18,2,2,"02:00",76
"28",18,2,2,"03:00",76
"29",18,2,2,"04:00",106
"30",18,2,2,"05:00",358
"31",18,2,2,"06:00",1197
"32",18,2,2,"07:00",3005
"33",18,2,2,"08:00",2741
"34",18,2,2,"09:00",2292
"35",18,2,2,"10:00",1668
"36",18,2,2,"11:00",1737
"37",18,2,2,"12:00",1898
"38",18,2,2,"13:00",1829
"39",18,2,2,"14:00",1824
"40",18,2,2,"15:00",2009
"41",18,2,2,"16:00",2708
"42",18,2,2,"17:00",2648
"43",18,2,2,"18:00",1856
"44",18,2,2,"19:00",1264
"45",18,2,2,"20:00",1010
"46",18,2,2,"21:00",700
"47",18,2,2,"22:00",708
"48",18,2,2,"23:00",496
"49",18,2,5,"00:00",131
"50",18,2,5,"01:00",67
"51",18,2,5,"02:00",63
"52",18,2,5,"03:00",63
"53",18,2,5,"04:00",131
"54",18,2,5,"05:00",374
"55",18,2,5,"06:00",1230
"56",18,2,5,"07:00",3130
"57",18,2,5,"08:00",2610
"58",18,2,5,"09:00",2431
"59",18,2,5,"10:00",1666
"60",18,2,5,"11:00",1659
"61",18,2,5,"12:00",1691
"62",18,2,5,"13:00",1671
"63",18,2,5,"14:00",1606
"64",18,2,5,"15:00",1797
"65",18,2,5,"16:00",2302
"66",18,2,5,"17:00",2503
"67",18,2,5,"18:00",1798
"68",18,2,5,"19:00",1180
"69",18,2,5,"20:00",856
"70",18,2,5,"21:00",554
"71",18,2,5,"22:00",376
"72",18,2,5,"23:00",219
"73",18,2,6,"00:00",130
"74",18,2,6,"01:00",51
"75",18,2,6,"02:00",48
"76",18,2,6,"03:00",60
"77",18,2,6,"04:00",119
"78",18,2,6,"05:00",381
"79",18,2,6,"06:00",1268
"80",18,2,6,"07:00",3189
"81",18,2,6,"08:00",2803
"82",18,2,6,"09:00",2537
"83",18,2,6,"10:00",1800
"84",18,2,6,"11:00",1677
"85",18,2,6,"12:00",1752
"86",18,2,6,"13:00",1940
"87",18,2,6,"14:00",1721
"88",18,2,6,"15:00",1789
"89",18,2,6,"16:00",2425
"90",18,2,6,"17:00",2643
"91",18,2,6,"18:00",1989
"92",18,2,6,"19:00",1273
"93",18,2,6,"20:00",867
"94",18,2,6,"21:00",646
"95",18,2,6,"22:00",430
"96",18,2,6,"23:00",246
"97",18,2,7,"00:00",138
"98",18,2,7,"01:00",78
"99",18,2,7,"02:00",56
"100",18,2,7,"03:00",58
"101",18,2,7,"04:00",97
"102",18,2,7,"05:00",363
"103",18,2,7,"06:00",1155
"104",18,2,7,"07:00",2956
"105",18,2,7,"08:00",2668
"106",18,2,7,"09:00",2538
"107",18,2,7,"10:00",1767
"108",18,2,7,"11:00",1707
"109",18,2,7,"12:00",1774
"110",18,2,7,"13:00",1710
"111",18,2,7,"14:00",1692
"112",18,2,7,"15:00",1880
"113",18,2,7,"16:00",2453
"114",18,2,7,"17:00",2700
"115",18,2,7,"18:00",2046
"116",18,2,7,"19:00",1245
"117",18,2,7,"20:00",955
"118",18,2,7,"21:00",633
"119",18,2,7,"22:00",471
"120",18,2,7,"23:00",250
"121",18,2,8,"00:00",125
"122",18,2,8,"01:00",77
"123",18,2,8,"02:00",61
"124",18,2,8,"03:00",52
"125",18,2,8,"04:00",94
"126",18,2,8,"05:00",368
"127",18,2,8,"06:00",1250
"128",18,2,8,"07:00",3042
"129",18,2,8,"08:00",2822
"130",18,2,8,"09:00",2495
"131",18,2,8,"10:00",1716
"132",18,2,8,"11:00",1708
"133",18,2,8,"12:00",1735
"134",18,2,8,"13:00",1640
"135",18,2,8,"14:00",1582
"136",18,2,8,"15:00",1834
"137",18,2,8,"16:00",2450
"138",18,2,8,"17:00",2814
"139",18,2,8,"18:00",2664
"140",18,2,8,"19:00",1421
"141",18,2,8,"20:00",978
"142",18,2,8,"21:00",689
"143",18,2,8,"22:00",544
"144",18,2,8,"23:00",321
"145",18,2,9,"00:00",165
"146",18,2,9,"01:00",99
"147",18,2,9,"02:00",84
"148",18,2,9,"03:00",57
"149",18,2,9,"04:00",114
"150",18,2,9,"05:00",382
"151",18,2,9,"06:00",1129
"152",18,2,9,"07:00",2899
"153",18,2,9,"08:00",2843
"154",18,2,9,"09:00",2406
"155",18,2,9,"10:00",1816
"156",18,2,9,"11:00",1690
"157",18,2,9,"12:00",1816
"158",18,2,9,"13:00",1806
"159",18,2,9,"14:00",1766
"160",18,2,9,"15:00",2075
"161",18,2,9,"16:00",2444
"162",18,2,9,"17:00",2348
"163",18,2,9,"18:00",1829
"164",18,2,9,"19:00",1236
"165",18,2,9,"20:00",953
"166",18,2,9,"21:00",691
"167",18,2,9,"22:00",543
"168",18,2,9,"23:00",448
"169",18,2,12,"00:00",122
"170",18,2,12,"01:00",74
"171",18,2,12,"02:00",47
"172",18,2,12,"03:00",49
"173",18,2,12,"04:00",119
"174",18,2,12,"05:00",327
"175",18,2,12,"06:00",1140
"176",18,2,12,"07:00",2860
"177",18,2,12,"08:00",2592
"178",18,2,12,"09:00",2334
"179",18,2,12,"10:00",1703
"180",18,2,12,"11:00",1608
"181",18,2,12,"12:00",1701
"182",18,2,12,"13:00",1772
"183",18,2,12,"14:00",1707
"184",18,2,12,"15:00",1784
"185",18,2,12,"16:00",2068
"186",18,2,12,"17:00",2360
"187",18,2,12,"18:00",1773
"188",18,2,12,"19:00",1149
"189",18,2,12,"20:00",818
"190",18,2,12,"21:00",563
"191",18,2,12,"22:00",433
"192",18,2,12,"23:00",250
"193",18,2,13,"00:00",124
"194",18,2,13,"01:00",71
"195",18,2,13,"02:00",42
"196",18,2,13,"03:00",61
"197",18,2,13,"04:00",104
"198",18,2,13,"05:00",359
"199",18,2,13,"06:00",1261
"200",18,2,13,"07:00",2923
"201",18,2,13,"08:00",2807
"202",18,2,13,"09:00",2447
"203",18,2,13,"10:00",1849
"204",18,2,13,"11:00",1694
"205",18,2,13,"12:00",1803
"206",18,2,13,"13:00",1678
"207",18,2,13,"14:00",1699
"208",18,2,13,"15:00",1857
"209",18,2,13,"16:00",2484
"210",18,2,13,"17:00",2753
"211",18,2,13,"18:00",2399
"212",18,2,13,"19:00",1323
"213",18,2,13,"20:00",856
"214",18,2,13,"21:00",659
"215",18,2,13,"22:00",495
"216",18,2,13,"23:00",268
"217",18,2,14,"00:00",134
"218",18,2,14,"01:00",69
"219",18,2,14,"02:00",59
"220",18,2,14,"03:00",54
"221",18,2,14,"04:00",107
"222",18,2,14,"05:00",322
"223",18,2,14,"06:00",1140
"224",18,2,14,"07:00",3044
"225",18,2,14,"08:00",2793
"226",18,2,14,"09:00",2473
"227",18,2,14,"10:00",1752
"228",18,2,14,"11:00",1679
"229",18,2,14,"12:00",1752
"230",18,2,14,"13:00",1696
"231",18,2,14,"14:00",1648
"232",18,2,14,"15:00",1739
"233",18,2,14,"16:00",2310
"234",18,2,14,"17:00",2726
"235",18,2,14,"18:00",2439
"236",18,2,14,"19:00",1302
"237",18,2,14,"20:00",855
"238",18,2,14,"21:00",590
"239",18,2,14,"22:00",475
"240",18,2,14,"23:00",299
"241",18,2,15,"00:00",180
"242",18,2,15,"01:00",88
"243",18,2,15,"02:00",67
"244",18,2,15,"03:00",65
"245",18,2,15,"04:00",109
"246",18,2,15,"05:00",362
"247",18,2,15,"06:00",1189
"248",18,2,15,"07:00",3086
"249",18,2,15,"08:00",2876
"250",18,2,15,"09:00",2383
