"","X","year","month","day","time","sum"
"1",1,18,2,1,"00:00",203
"2",2,18,2,1,"01:00",121
"3",3,18,2,1,"02:00",73
"4",4,18,2,1,"03:00",85
"5",5,18,2,1,"04:00",146
"6",6,18,2,1,"05:00",416
"7",7,18,2,1,"06:00",1274
"8",8,18,2,1,"07:00",3048
"9",9,18,2,1,"08:00",2785
"10",10,18,2,1,"09:00",2474
"11",11,18,2,1,"10:00",1768
"12",12,18,2,1,"11:00",1701
"13",13,18,2,1,"12:00",1853
"14",14,18,2,1,"13:00",1730
"15",15,18,2,1,"14:00",1738
"16",16,18,2,1,"15:00",2007
"17",17,18,2,1,"16:00",2438
"18",18,18,2,1,"17:00",2679
"19",19,18,2,1,"18:00",2275
"20",20,18,2,1,"19:00",1342
"21",21,18,2,1,"20:00",1052
"22",22,18,2,1,"21:00",714
"23",23,18,2,1,"22:00",507
"24",24,18,2,1,"23:00",314
